is_goal,match_event_id,location_x,location_y,remaining_min,power_of_shot1,knockout_match2,game_season,remaining_sec1,distance_of_shot1,area_of_shot,shot_basics,range_of_shot,team_name,date_of_game,home_away,shot_id_number,lat_lng,type_of_shot,type_of_combined_shot,match_id,team_id,remaining_min.1,power_of_shot,knockout_match1,remaining_sec2,distance_of_shot2
1,182,-223,20,5,2,0,2005-06,44,42,Left Side(L),Left Corner,24+ ft.,Manchester United,22-01-2006,MANU vs. TOR,8580,"42.982923, -71.446094",shot - 17,,20500591,1610612747,5,2,0,99.7856,42
1,152,-235,22,7,2,0,2007-08,35,43,Left Side(L),Left Corner,24+ ft.,Manchester United,26-02-2008,MANU vs. POR,12601,"42.982923, -71.446094",shot - 3,shot - 3,20700843,1610612747,7,2,0,35,43
0,355,,194,6,3,0,2012-13,10,39,Center(C),Mid Range,16-24 ft.,Manchester United,17-01-2013,MANU vs. MIA,20248,"42.982923, -71.446094",shot - 52,,21200583,1610612747,6,3,52.608,10,36.4
1,227,,-11,0,2,0,2005-06,0,42,Left Side(L),Left Corner,24+ ft.,Manchester United,19-03-2006,MANU @ CLE,9292,"41.484971, -81.671552",shot - 3,shot - 3,20500981,1610612747,0,2,0,0,42
0,433,-199,-5,7,4,0,2011-12,2,39,Left Side(L),Mid Range,16-24 ft.,Manchester United,09-03-2012,MANU @ MIN,19031,,shot - 44,,21100589,1610612747,7,4,0,2,39
0,71,-79,7,3,1,0,2015-16,56,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,28-01-2016,MANU vs. CHI,22397,"42.982923, -71.446094",shot - 27,,21500697,1610612747,3,1,0,56,27
0,70,45,154,4,1,0,2000-01,12,36,Center(C),Mid Range,16-24 ft.,Manchester United,07-01-2001,MANU vs. LAC,762,"42.982923, -71.446094",shot - 56,,20000484,1610612747,4,1,106.928,12,36
0,183,161,141,5,2,1,2000-01,41,41,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,22-04-2001,MANU vs. POR,26202,"42.982923, -71.446094",shot - 3,shot - 3,40000005,1610612747,5,2,1,41,38.4
1,210,13,132,3,2,0,,23,33,Center(C),Goal Line,8-16 ft.,Manchester United,12-03-2011,MANU @ DAL,17739,"32.757824, -96.786653",shot - 3,shot - 3,21000982,1610612747,69.64,2,0,23,33
0,227,24,67,1,2,0,2009-10,39,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,31-03-2010,MANU @ ATL,16357,"33.768092, -84.393817",shot - 3,shot - 3,20901107,1610612747,1,2,0,39,80.728
0,24,-74,44,9,1,0,,14,28,Left Side(L),Goal Line,8-16 ft.,Manchester United,27-02-2000,MANU vs. HOU,25722,"42.982923, -71.446094",shot - 42,,29900800,1610612747,9,1,0,14,108.4
1,406,0,0,8,4,1,2000-01,0,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,11-05-2001,MANU @ SAC,26314,"38.567296, -121.456638",shot - 1,,40000050,1610612747,8,28.6,1,0,20
0,260,-215,134,1,2,0,2015-16,44,45,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,01-11-2015,MANU vs. DAL,21830,"42.982923, -71.446094",shot - 3,shot - 3,21500045,1610612747,1,2,58.608,72.7856,45
0,253,116,258,2,2,0,2008-09,4,48,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,03-03-2009,MANU vs. MEM,14454,"42.982923, -71.446094",shot - 3,shot - 3,20800904,1610612747,2,2,108.928,4,48
1,311,143,148,4,3,0,2006-07,3,40,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,31-12-2006,MANU vs. PHI,10268,"42.982923, -71.446094",shot - 3,shot - 3,20600456,1610612747,98.64,3,,3,40
1,398,-75,31,4,4,0,,24,28,Left Side(L),Goal Line,8-16 ft.,Manchester United,10-12-2006,MANU vs. SAS,10013,"42.982923, -71.446094",shot - 3,shot - 3,20600299,1610612747,4,4,0,24,28
0,475,198,-14,1,4,0,2012-13,46,39,Right Side(R),Mid Range,16-24 ft.,Manchester United,07-04-2013,MANU @ LAC,20936,"34.189593, -118.471724",shot - 36,,21201146,1610612747,1,4,0,46,39
0,169,138,210,5,2,0,,30,45,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,04-03-2005,MANU vs. DAL,7070,"42.982923, -71.446094",shot - 3,shot - 3,20400864,1610612747,,2,0,30,45
1,49,176,227,5,1,0,2009-10,55,48,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,06-12-2009,,15269,"42.982923, -71.446094",shot - 44,,20900295,1610612747,,1,76.8,55,48
0,20,-27,17,9,1,0,2010-11,35,23,Center(C),Goal Area,Less Than 8 ft.,,,MANU vs. SAC,17312,"42.982923, -71.446094",shot - 55,,21000692,1610612747,9,1,0,73.7856,23
1,162,72,207,,2,0,1997-98,31,41,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,09-11-1997,MANU vs. GSW,23358,"42.982923, -71.446094",shot - 3,shot - 3,29700076,1610612747,45.64,76.36,84.8,31,41
0,299,-96,223,4,3,0,2015-16,28,44,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,19-02-2016,MANU vs. SAS,22555,"42.982923, -71.446094",shot - 5,,21500818,1610612747,4,3,0,,44
0,416,0,,2,4,0,,30,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,21-03-2004,MANU vs. MIL,5940,"42.982923, -71.446094",shot - 39,,20301012,1610612747,102.64,4,109.8,30,48.728
1,325,0,0,5,3,0,2007-08,0,20,Center(C),Goal Area,Less Than 8 ft.,,13-12-2007,,11875,"42.982923, -71.446094",shot - 1,shot - 1,20700326,1610612747,5,3,0,,20
1,108,64,137,1,1,0,2001-02,6,35,Center(C),Goal Line,8-16 ft.,Manchester United,04-01-2002,MANU vs. PHX,,,shot - 16,,20100456,1610612747,1,62.36,0,6,35
0,147,-96,166,,2,0,1999-00,18,39,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,07-12-1999,,25064,"42.982923, -71.446094",shot - 22,,29900258,1610612747,,43.36,0,139.7856,39
1,308,62,252,7,3,0,2005-06,41,45,Center(C),Penalty Spot,24+ ft.,Manchester United,13-02-2006,MANU vs. UTA,8839,"42.982923, -71.446094",shot - 10,,20500756,1610612747,7,3,0,41,17.4
1,480,-7,102,1,4,1,2008-09,59,30,Center(C),Goal Line,8-16 ft.,Manchester United,04-06-2009,MANU vs. ORL,28931,"42.982923, -71.446094",shot - 29,,40800401,1610612747,1,4,1,59,30
0,428,135,114,2,4,0,2007-08,58,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,30-03-2008,MANU vs. WAS,13016,"42.982923, -71.446094",shot - 3,shot - 3,20701098,1610612747,2,4,0,58,37
1,321,0,0,,3,0,2009-10,17,20,,Goal Area,Less Than 8 ft.,Manchester United,01-11-2009,MANU vs. ATL,14930,"42.982923, -71.446094",shot - 12,,20900045,1610612747,114.64,3,50.928,17,20
0,223,20,71,0,2,1,2007-08,45,27,Center(C),Goal Line,Less Than 8 ft.,Manchester United,16-05-2008,MANU @ UTA,28241,"40.774891, -111.930790",shot - 3,shot - 3,40700226,1610612747,0,2,131.608,45,67.4
0,224,193,,2,2,1,2009-10,24,44,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,,MANU @ OKC,29089,"35.492151, -97.519011",shot - 3,shot - 3,40900143,1610612747,2,2,1,24,44
0,209,-103,217,4,2,0,,4,44,,Penalty Spot,24+ ft.,Manchester United,09-11-2007,,11559,"42.982923, -71.446094",shot - 3,shot - 3,20700076,1610612747,4,2,0,4,88.4
1,510,-52,51,1,5,0,2005-06,7,27,Center(C),,Less Than 8 ft.,Manchester United,28-12-2005,MANU vs. MEM,8295,"42.982923, -71.446094",shot - 3,shot - 3,20500412,1610612747,1,5,0,7,27
1,261,112,102,10,3,0,2005-06,38,35,Right Side(R),Mid Range,8-16 ft.,Manchester United,12-12-2005,MANU @ DAL,8087,"32.757824, -96.786653",shot - 3,shot - 3,20500297,1610612747,10,3,0,38,35
1,389,18,91,5,4,1,2001-02,4,29,Center(C),Goal Line,8-16 ft.,Manchester United,12-06-2002,MANU @ NJN,26986,"40.643505, -73.939507",shot - 3,shot - 3,40100404,1610612747,5,,82.8,4,29
1,410,54,,8,4,0,2004-05,46,33,Center(C),Goal Line,,Manchester United,,MANU @ DAL,,"32.757824, -96.786653",shot - 15,,20400903,1610612747,8,,70.928,46,33
1,441,-66,66,3,4,0,2002-03,44,29,Left Side(L),Goal Line,8-16 ft.,Manchester United,03-12-2002,MANU vs. MEM,3556,"42.982923, -71.446094",shot - 3,shot - 3,20200254,1610612747,90.2,4,102.608,44,29
0,16,-179,48,9,1,0,,26,38,Left Side(L),Mid Range,16-24 ft.,Manchester United,03-12-2014,MANU @ WAS,21482,"38.919619, -77.015211",shot - 3,shot - 3,21400264,1610612747,104.64,1,0,72.2,38
1,461,-46,43,4,4,0,2007-08,31,26,Center(C),Goal Line,Less Than 8 ft.,Manchester United,14-01-2008,MANU @ SEA,12232,"47.633181, -122.308343",shot - 3,shot - 3,20700553,1610612747,4,4,0,120.7856,26
0,297,6,48,7,3,0,2010-11,14,24,Center(C),Goal Line,Less Than 8 ft.,Manchester United,26-11-2010,MANU @ UTA,16745,"40.774891, -111.930790",shot - 36,,21000231,1610612747,,3,0,14,24
1,391,0,0,9,4,0,1997-98,51,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,04-11-1997,,23346,"38.567296, -121.456638",shot - 1,shot - 1,29700040,1610612747,9,4,0,51,20
0,336,159,216,0,3,1,,54,46,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,02-05-2011,MANU vs. DAL,29668,,shot - 32,,41000231,1610612747,0,3,1,54,46
1,339,130,228,2,3,0,,57,46,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,27-03-2009,MANU @ NJN,14688,"40.643505, -73.939507",shot - 3,shot - 3,20801078,1610612747,2,39.36,47.608,57,46
1,234,0,0,10,3,0,1998-99,48,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,01-03-1999,MANU @ PHX,24480,"33.552026, -112.071667",shot - 4,,29800192,1610612747,10,109.36,0,48,20
0,258,74,158,,3,0,2006-07,47,37,Right Side Center(RC),,16-24 ft.,Manchester United,,MANU vs. DAL,10315,"42.982923, -71.446094",shot - 36,,20600504,1610612747,7,3,0,47,37
1,35,,156,7,1,0,2009-10,34,36,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,27-03-2010,MANU @ HOU,16313,"29.740325, -95.365762",shot - 3,shot - 3,20901085,1610612747,16.2,1,63.608,34,36
1,322,98,18,3,3,,1997-98,32,29,Right Side(R),Mid Range,8-16 ft.,Manchester United,16-12-1997,MANU @ MIN,23585,"46.667324, -94.419250",shot - 3,shot - 3,29700322,1610612747,108.64,3,30.8,32,29
1,218,70,132,5,2,0,2012-13,10,34,Center(C),Goal Line,8-16 ft.,Manchester United,22-12-2012,MANU @ GSW,19960,"37.754130, -122.437947",shot - 38,,21200398,1610612747,5,44.36,0,10,34
1,398,-1,0,4,4,1,2001-02,52,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,,MANU @ SAS,26695,"29.444994, -98.524120",shot - 55,,40100233,1610612747,,4,110.608,52,20
1,361,9,44,3,3,0,2008-09,20,24,Center(C),Goal Line,Less Than 8 ft.,Manchester United,29-10-2008,MANU @ LAC,13181,,shot - 36,,20800015,1610612747,3,3,0,20,41.4
1,252,0,0,7,3,0,2005-06,47,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,14-12-2005,MANU @ MEM,8116,"35.103812, -89.964007",shot - 56,,20500314,1610612747,68.64,60.36,0,47,20
1,360,131,118,10,4,0,2005-06,49,37,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,09-01-2006,MANU vs. IND,8392,"42.982923, -71.446094",shot - 27,,20500490,1610612747,10,4,0,49,37
1,202,-56,134,2,2,1,,55,34,Center(C),Goal Line,8-16 ft.,Manchester United,04-06-2009,MANU vs. ORL,28912,"42.982923, -71.446094",shot - 3,shot - 3,40800401,1610612747,2,2,1,55,34
0,116,-138,220,0,1,0,,25,45,Left Side Center(LC),Penalty Spot,,Manchester United,06-11-2007,MANU vs. NOH,11532,"42.982923, -71.446094",shot - 3,shot - 3,20700052,1610612747,0,1,0,25,45
0,313,17,214,4,3,0,2010-11,56,41,Center(C),Mid Range,16-24 ft.,Manchester United,01-04-2011,MANU @ UTA,17915,"40.774891, -111.930790",shot - 3,shot - 3,21001132,1610612747,4,73.36,0,56,41
1,203,-32,,2,2,0,,43,37,,Mid Range,16-24 ft.,Manchester United,09-12-2015,MANU @ MIN,22117,"46.667324, -94.419250",shot - 3,shot - 3,21500325,1610612747,2,,0,43,37
0,4,170,78,11,1,0,2011-12,4,38,Right Side(R),Mid Range,16-24 ft.,Manchester United,17-02-2012,MANU vs. PHX,18767,"42.982923, -71.446094",shot - 36,,21100455,1610612747,75.2,1,0,,
0,467,145,218,5,4,0,1997-98,3,46,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,07-12-1997,MANU vs. CLE,23511,"42.982923, -71.446094",shot - 3,shot - 3,29700262,1610612747,96.2,96.36,0,72.2,38.728
0,332,110,-36,1,3,0,2002-03,40,31,Right Side(R),Mid Range,8-16 ft.,Manchester United,14-02-2003,MANU vs. SAS,4256,"42.982923, -71.446094",shot - 36,,20200743,1610612747,1,3,0,40,70.4
1,137,118,-11,8,2,0,2005-06,31,31,Right Side(R),Mid Range,8-16 ft.,Manchester United,24-02-2006,MANU @ LAC,8934,"34.189593, -118.471724",shot - 3,shot - 3,20500813,1610612747,30.2,98.36,0,31,31
1,377,0,0,4,4,0,2004-05,3,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,,MANU vs. LAC,7130,"42.982923, -71.446094",shot - 18,,20400895,1610612747,4,4,60.928,3,
0,639,24,74,,6,0,2003-04,18,27,Center(C),Goal Line,Less Than 8 ft.,Manchester United,06-11-2003,MANU @ SAS,5106,"29.444994, -98.524120",shot - 21,,20300064,1610612747,0,6,0,18,27
0,413,-57,145,7,4,0,1998-99,39,35,Center(C),Mid Range,8-16 ft.,Manchester United,11-04-1999,MANU vs. SEA,24861,"42.982923, -71.446094",shot - 31,,29800525,1610612747,7,20.36,0,39,77.4
0,286,-3,3,5,3,0,,2,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,23-01-2008,MANU @ SAS,12289,"29.444994, -98.524120",shot - 39,,20700618,1610612747,57.2,3,0,2,20
0,254,-106,170,1,2,1,,27,40,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,21-05-2009,MANU vs. DEN,28804,"42.982923, -71.446094",shot - 3,shot - 3,40800312,1610612747,,2,1,22.2,40
0,55,107,-9,5,1,0,2006-07,33,30,Right Side(R),Mid Range,8-16 ft.,Manchester United,03-02-2007,MANU @ WAS,10580,,shot - 3,shot - 3,20600699,1610612747,5,1,0,33,30
1,35,-115,11,7,1,0,2001-02,0,31,Left Side(L),Mid Range,8-16 ft.,Manchester United,23-01-2002,MANU @ LAC,2289,"34.189593, -118.471724",shot - 3,shot - 3,20100595,1610612747,,40.36,0,0,31
0,100,-125,7,1,1,0,2005-06,1,32,Left Side(L),Mid Range,8-16 ft.,Manchester United,31-01-2006,MANU @ NYK,8672,"40.708999, -73.872430",shot - 53,,20500658,1610612747,1,54.36,0,66.2,11.4
1,,0,0,8,4,0,2002-03,42,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,27-02-2003,MANU vs. DET,4478,"42.982923, -71.446094",shot - 12,,20200833,1610612747,8,4,0,,20
0,32,210,144,8,1,0,2015-16,36,45,Right Side Center(RC),Penalty Spot,24+ ft.,,30-10-2015,MANU @ SAC,21814,"38.567296, -121.456638",shot - 3,shot - 3,21500031,1610612747,8,1,0,36,45
0,210,0,0,1,2,0,2009-10,3,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,15-12-2009,MANU @ CHI,15359,"41.845137, -87.660450",shot - 39,,20900354,1610612747,1,2,0,3,20
0,422,,69,2,4,0,2002-03,51,,Right Side(R),,8-16 ft.,Manchester United,18-02-2003,MANU vs. HOU,4327,,shot - 3,shot - 3,20200769,1610612747,44.64,4,0,76.2,35
0,468,,21,2,4,0,,9,34,Left Side(L),Mid Range,8-16 ft.,Manchester United,08-12-2000,MANU vs. SEA,479,"42.982923, -71.446094",shot - 3,shot - 3,20000280,1610612747,2,35.36,0,9,34
0,5,137,203,11,1,0,2015-16,25,44,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,13-04-2016,MANU vs. UTA,22852,,shot - 36,,21501228,1610612747,102.64,1,0,25,44
0,159,0,0,,2,0,2000-01,34,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,19-01-2001,MANU vs. HOU,864,"42.982923, -71.446094",shot - 4,shot - 4,20000571,1610612747,5,2,0,34,20
1,61,,18,4,1,0,,18,23,Center(C),Goal Area,Less Than 8 ft.,Manchester United,20-11-2007,,11650,"40.361408, -86.186052",shot - 4,shot - 4,20700152,1610612747,4,1,0,18,23
0,469,-151,-28,1,4,0,2002-03,42,35,Left Side(L),Mid Range,8-16 ft.,,21-02-2003,,4398,"42.982923, -71.446094",shot - 2,,20200790,1610612747,1,4,0,42,
0,,0,0,2,2,1,,37,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,02-06-2002,MANU @ SAC,26906,"38.567296, -121.456638",shot - 4,,40100317,1610612747,2,2,38.608,37,20
0,457,105,,3,4,0,2006-07,33,44,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,08-04-2007,MANU vs. PHX,11328,"42.982923, -71.446094",shot - 3,shot - 3,20601144,1610612747,3,4,0,33,44
0,8,-140,215,11,1,0,2002-03,9,,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,23-02-2003,MANU vs. SEA,4400,"42.982923, -71.446094",shot - 6,,20200806,1610612747,11,108.36,0,9,45
1,331,127,85,7,3,0,2014-15,8,35,Right Side(R),Mid Range,8-16 ft.,Manchester United,09-12-2014,,21558,"42.982923, -71.446094",shot - 3,shot - 3,21400315,1610612747,7,3,101.608,8,56.4
0,380,56,58,1,3,0,2006-07,4,28,Right Side(R),Goal Line,8-16 ft.,Manchester United,04-01-2007,MANU @ SAC,10281,"38.567296, -121.456638",shot - 3,shot - 3,20600478,1610612747,39.2,35.36,0,,28
1,68,-8,9,4,1,0,2012-13,23,21,Center(C),Goal Area,Less Than 8 ft.,Manchester United,25-01-2013,MANU vs. UTA,20338,"42.982923, -71.446094",shot - 1,shot - 1,21200641,1610612747,4,1,0,23,21
0,101,168,7,1,1,0,2011-12,24,36,Right Side(R),Mid Range,16-24 ft.,Manchester United,10-02-2012,MANU @ NYK,18701,"40.708999, -73.872430",shot - 3,shot - 3,21100395,1610612747,48.64,1,,118.2,36
0,103,-40,242,1,1,0,1997-98,49,44,Center(C),Penalty Spot,24+ ft.,Manchester United,21-01-1998,MANU @ PHX,23784,"33.552026, -112.071667",shot - 9,,29700574,1610612747,1,1,125.928,130.7856,44
1,349,39,69,11,4,1,2008-09,0,27,Center(C),Goal Line,Less Than 8 ft.,Manchester United,21-04-2009,MANU vs. UTA,28531,"42.982923, -71.446094",shot - 54,,40800142,1610612747,11,4,1,0,27
1,361,-11,242,0,3,0,2005-06,28,44,Center(C),Penalty Spot,24+ ft.,Manchester United,03-02-2006,MANU @ CHA,8721,"35.262047, -80.865746",shot - 2,,20500679,1610612747,0,3,67.8,28,22.4
1,233,-168,134,1,2,0,2008-09,22,41,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,06-03-2009,MANU vs. MIN,14474,"42.982923, -71.446094",shot - 12,,20800925,1610612747,1,2,0,22,41
0,397,121,83,9,4,1,2009-10,5,34,Right Side(R),Mid Range,8-16 ft.,Manchester United,22-04-2010,MANU @ OKC,,"35.492151, -97.519011",shot - 38,,40900143,1610612747,9,4,1,5,34
0,410,-227,114,6,4,1,2002-03,41,45,,Penalty Spot,24+ ft.,Manchester United,01-05-2003,MANU vs. MIN,27143,"42.982923, -71.446094",shot - 56,,40200176,1610612747,69.2,39.36,101.608,41,64.4
0,,227,-14,7,4,0,2005-06,13,42,Right Side(R),Right Corner,24+ ft.,Manchester United,11-01-2006,MANU @ POR,,"45.539131, -122.651648",shot - 3,shot - 3,20500507,1610612747,7,4,0,79.7856,42
0,370,0,0,9,4,0,2000-01,26,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,12-04-2001,MANU vs. MIN,1475,"42.982923, -71.446094",shot - 4,shot - 4,20001136,1610612747,,87.6,0,26,20
1,387,43,95,9,4,0,2004-05,34,30,Center(C),Goal Line,8-16 ft.,Manchester United,21-11-2004,MANU vs. CHI,6435,"42.982923, -71.446094",shot - 56,,20400145,1610612747,9,4,0,34,30
1,320,215,1,5,3,0,2012-13,32,41,Right Side(R),Mid Range,,Manchester United,18-11-2012,MANU vs. HOU,19582,"42.982923, -71.446094",shot - 3,shot - 3,21200146,1610612747,5,3,0,103.2,41
1,35,0,0,7,1,0,1999-00,0,20,Center(C),Goal Area,,,16-02-2000,MANU @ CHH,,"35.205878, -80.841194",shot - 39,,29900718,1610612747,7,1,0,0,20
0,422,0,0,2,4,0,2005-06,4,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,11-01-2006,MANU @ POR,8426,"45.539131, -122.651648",shot - 18,,20500507,1610612747,98.2,4,0,4,20
0,78,-187,161,,1,0,2004-05,28,44,Left Side Center(LC),,24+ ft.,Manchester United,17-03-2005,MANU @ MIA,,"25.790710, -80.207819",shot - 36,,20400954,1610612747,4,1,86.8,28,44
0,522,-34,30,0,4,1,2011-12,28,24,Center(C),Goal Line,Less Than 8 ft.,Manchester United,08-05-2012,MANU vs. DEN,29860,"42.982923, -71.446094",shot - 3,shot - 3,41100165,1610612747,0,4,1,28,
0,38,0,0,7,1,0,2007-08,36,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,28-12-2007,,12038,"42.982923, -71.446094",shot - 39,,20700432,1610612747,99.7616,1,0,36,20
1,44,204,155,7,1,0,,41,45,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,24-02-2008,MANU @ SEA,12586,"47.633181, -122.308343",shot - 3,shot - 3,20700830,1610612747,7,1,110.35232,41,
1,321,-150,6,9,3,0,2012-13,37,35,Left Side(L),Mid Range,8-16 ft.,Manchester United,07-02-2013,MANU @ BOS,20456,"42.330507, -71.074655",shot - 3,shot - 3,21200733,1610612747,9,3,0,37,23.728
0,306,-118,153,2,3,1,2007-08,42,39,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,08-06-2008,MANU @ BOS,28412,"42.330507, -71.074655",shot - 41,,40700402,1610612747,36.2,3,1,42,39
0,254,,86,1,2,0,2012-13,54,,Left Side(L),Goal Line,8-16 ft.,Manchester United,27-11-2012,MANU vs. IND,19670,"42.982923, -71.446094",shot - 0,,21200208,1610612747,1,2,,54,
0,501,69,242,,4,1,2007-08,15,45,Center(C),Penalty Spot,24+ ft.,Manchester United,15-06-2008,MANU vs. BOS,28479,"42.982923, -71.446094",shot - 10,,40700405,1610612747,1,4,1,15,45
1,94,192,168,3,1,0,2003-04,22,45,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,04-01-2004,MANU @ LAC,5495,"34.189593, -118.471724",shot - 9,,20300476,1610612747,3,1,,106.2,100.4
0,121,-3,254,,2,0,1998-99,43,45,Center(C),Penalty Spot,24+ ft.,Manchester United,18-03-1999,MANU @ CLE,24607,"41.484971, -81.671552",shot - 3,shot - 3,29800328,1610612747,8,2,0,43,45
0,302,,156,6,3,0,2008-09,15,38,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,22-02-2009,,14329,"46.667324, -94.419250",shot - 40,,20800834,1610612747,6,3,0,15,10.4
0,182,,0,4,2,0,2009-10,4,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,26-02-2010,MANU vs. PHI,16055,"42.982923, -71.446094",shot - 4,shot - 4,20900869,1610612747,4,2,0,4,20
1,103,0,0,2,1,0,,12,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,25-11-2007,MANU vs. NJN,,"42.982923, -71.446094",shot - 4,shot - 4,20700196,1610612747,2,82.36,44.8,12,20
1,292,0,0,5,3,0,2001-02,30,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,24-02-2002,MANU @ NYK,2614,"40.708999, -73.872430",shot - 39,,20100790,1610612747,5,59.36,0,30,20
0,194,10,3,4,2,0,2012-13,35,21,Center(C),Goal Area,Less Than 8 ft.,Manchester United,05-02-2013,MANU @ BKN,20429,"40.623199, -73.951223",shot - 4,shot - 4,21200716,1610612747,4,2,0,35,21
